Time,Disp,Force,CrackLen,CrackExt,G_I
199.2,14.76748006,77.82022995,67.06476177,30.03755071,0.895069156
199.4,14.83645179,77.92258349,67.11506371,30.08785265,0.899852985
199.6,14.85475467,77.77632602,67.16536565,30.13815459,0.898693782
199.8,14.78652426,77.8640894,67.19051662,30.16330556,0.89528753
200,14.80251334,77.82018547,67.25339405,30.22618299,0.895031125
200.2,14.81758267,77.82018547,67.32884696,30.3016359,0.895079958
200.4,14.87031803,77.87867956,67.34142245,30.31421139,0.898796531
200.6,14.88541744,77.673928,67.36657342,30.33936236,0.897055986
200.8,14.90327271,77.74710122,67.40429987,30.37708881,0.898545898
201,14.92160174,77.68851816,67.47975279,30.45254173,0.898109509
201.2,14.93896875,77.9518083,67.54263021,30.51541915,0.901480421
201.4,14.95379919,77.673928,67.60550764,30.57829658,0.89843994
201.6,14.97193344,77.60079926,67.6432341,30.61602304,0.898251815
201.8,14.98988554,77.77628154,67.75641347,30.72920241,0.900068295
202,15.00861953,77.7031528,67.76898895,30.74177789,0.900202215
202.2,15.02384848,77.82022995,67.84444186,30.8172308,0.901610423
202.4,15.03881315,77.73246657,67.94504575,30.91783469,0.900342787
202.6,15.05788193,77.49840123,67.97019672,30.94298566,0.898483866
202.8,15.07585045,77.68851816,67.97019672,30.94298566,0.901762789
203,15.08982882,77.84945476,68.03307414,31.00586308,0.903749707
203.2,15.10625452,78.08343113,68.04564963,31.01843857,0.907308389
203.4,15.12583911,77.84945476,68.0708006,31.04358954,0.905474537
203.6,15.14411411,77.89335869,68.12110254,31.09389148,0.906503587
203.8,15.15630743,77.84945476,68.13367803,31.10646697,0.906578133
204,15.17355583,77.84945476,68.13367803,31.10646697,0.90760985
204.2,15.19258004,77.8348646,68.13367803,31.10646697,0.908577475
204.4,15.21136838,77.71778745,68.18397997,31.15676891,0.907756196
204.6,15.22865007,77.68856264,68.22170642,31.19449536,0.908013504
204.8,15.24262392,77.42522802,68.2468574,31.21964634,0.905478823
205,15.26138703,77.29364967,68.41033871,31.38312765,0.903191048
205.2,15.27967807,77.4544973,68.43548968,31.40827862,0.905868653
205.4,15.29639512,77.2643359,68.47321613,31.44600507,0.904204188
205.6,15.31235243,77.17652804,68.52351807,31.49630701,0.903547371
205.8,15.32921222,77.27897054,68.52351807,31.49630701,0.905742899
206,15.34827181,77.17652804,68.52351807,31.49630701,0.905666893
206.2,15.36544253,77.1326241,68.54866904,31.52145798,0.90587804
206.4,15.38022201,76.89864773,68.57382002,31.54660896,0.903713317
206.6,15.39687636,77.11803394,68.63669744,31.60948638,0.90655716
206.8,15.41656113,77.00100127,68.68699938,31.65978832,0.905767
207,15.43511337,77.03031504,68.73730133,31.71009027,0.906630393
207.2,15.44906377,76.92791702,68.77502778,31.74781672,0.905815299
207.4,15.46600537,76.81083987,68.78760327,31.76039221,0.905285957
207.6,15.485425,77.00100127,68.87563166,31.8484206,0.907666106
207.8,15.5028045,77.08880914,68.92593361,31.89872255,0.909148934
208,15.51998365,77.14730323,68.96366006,31.936449,0.910417623
208.2,15.53397624,77.03022608,69.013962,31.98675094,0.909284036
208.4,15.55123025,77.08880914,69.08941492,32.06220386,0.910128748
208.6,15.57050152,77.0156804,69.11456589,32.08735483,0.910106571
208.8,15.58487169,76.92791702,69.15229234,32.12508128,0.909480514
209,15.60010924,76.84015364,69.24032074,32.21310968,0.908334346
209.2,15.61962499,77.01563592,69.29062268,32.26341162,0.910977039
209.4,15.63811189,77.00104576,69.32834914,32.30113808,0.911454537
209.6,15.65634241,77.00104576,69.37865108,32.35144002,0.911946485
209.8,15.67057724,76.97177647,69.37865108,32.35144002,0.912428672
210,15.68697776,77.11807842,69.41637754,32.38916648,0.914690719
210.2,15.70615689,77.00100127,69.45410399,32.42689293,0.913990251
210.4,15.72509373,76.92787254,69.46667948,32.43946842,0.91408041
