15FM,,18FM,,13FM,,20FM,,12FF,,22FM,,14FF,,19FM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.1497607064986353,727.6058308078385,0.7619178219948896,876.5940329754217,1.2507439353838983,647.987603362451,0.8392048233524859,864.7623749251495,1.030347078425188,637.7247233383158,0.5426545808592625,768.0265485512117,0.6868980522834588,691.816482225544,0.8297519301180699,839.3346406483553
1.2313079092558818,714.0810626734136,0.8393145281095585,868.1522519186906,1.3589493941097688,658.2029446585212,0.9115185423894611,832.5896265010126,1.0871010060840431,658.0877546635951,0.6246406026447989,768.0612883909513,0.7603636712696956,695.2374422335889,0.9074228981254201,839.3675520754771
1.2870196417225475,702.240262560052,0.9210262880024135,859.7122992745774,1.4804291284414153,678.5934021730685,0.9708322477133414,798.7164543422515,1.1436903766072892,673.3659704985624,0.7021470135165403,763.0093843277614,0.7993637124089795,700.3387134374615,0.9936142689320698,836.0142433342933
1.3515260388811945,695.4879347622378,1.0244230215432717,854.6713656870947,1.5759636877254093,697.2779507151381,1.0523245980920515,783.4967477110561,1.200444304266144,693.7290018238417,0.7623932092755373,757.9501666140999,0.8684045728599575,700.3679680393475,1.0840109887598337,829.2728860121865
1.4075120332405415,692.1218271327292,1.11929935228483,853.0166522679174,1.6799637974301662,710.8813405921316,1.1469266669409288,773.3673418080259,1.270143393259557,714.0975183869745,0.814009297478162,752.8872920752027,0.9632260512229794,697.0183161233997,1.161572252010111,825.9159204457671
1.4506077186438664,690.4451727621373,1.244271354716619,847.9848607435242,1.7752789472000146,722.7861351471188,1.2419127024395595,775.1025053823898,1.3396230727388247,727.6862809630251,0.8912414464572221,739.36069552816,1.027622743624554,686.8761113320444,1.2349281662392753,825.9470034602709
1.5111281762955446,693.8606475323287,1.356023933921168,834.4728914974244,1.9050048224382796,731.3156800095078,1.332967650809758,788.7004100215297,1.4222124706882604,746.3653442672409,0.9686930049504271,732.6138529681995,1.083608737983901,683.5100037025356,1.3212292418029978,825.9835717126285
1.567333580169037,697.2742938899023,1.4418861904566005,820.9499517756174,2.029867120112996,722.8940114915735,1.4328172638719376,807.3867869762171,1.4915824454104558,756.5642298497503,1.041939214422519,729.2550589891622,1.1352796785650616,680.1420676604091,1.4589818484337358,815.8724499357771
1.6193336350214151,704.0759888283991,1.5102139699866068,798.945005919486,2.142058518345835,722.9415502196382,1.528461527913004,829.4612125118276,1.5653223262893738,768.4598823416482,1.0979252087818656,725.8889513596534,1.2126763846797308,671.7002866036779,1.5317892388775376,798.9541479825753
1.6669637837170717,709.1809168575074,1.5743364004954996,780.3281086442779,2.2243188020240527,731.4509825432306,1.6322970804821524,837.9797868985095,1.699856926712651,792.2457020875902,1.1840617272099796,720.8407041216993,1.2946075540867308,670.0400879466471,1.6002815755431525,782.0340176167557
