Time,Disp,Force,CrackExt,G_I
7.8,0.0129166659999988,0.9361723812,41.248886096,1.65165495708301e-05
8,0.00934936799999875,1.3165396734,41.248886096,1.68123830459809e-05
8.2,0.0115480879999996,1.0825188192,41.248886096,1.70749173723719e-05
8.4,0.0167718810000004,1.2872703858,41.248886096,2.94893107189232e-05
8.6,0.0203762589999989,1.2872703858,41.248886096,3.5826740777627e-05
8.8,0.0223734839999991,1.2872259036,41.248886096,3.93370202541662e-05
9,0.0264226149999995,1.6237337466,41.248886096,5.86008188435339e-05
9.2,0.0368303279999988,1.5505160454,41.248886096,7.80000574134454e-05
9.4,0.0318815390000004,1.5505605276,41.248886096,6.75213431238142e-05
9.6,0.0332773419999999,1.5505160454,41.248886096,7.04754675702843e-05
9.8,0.039654883999999,1.6968624834,41.248886096,9.19086532801713e-05
10,0.0453803080000004,1.90161405,41.248886096,0.000117869892537209
10.2,0.0502467079999995,2.0186467182,41.248886096,0.000138541856960867
10.4,0.0636461490000002,2.2673466984,41.248886096,0.000197107493353191
10.6,0.0721897179999988,2.5745407716,41.248886096,0.000253856442794145
10.8,0.0862407639999993,2.8378309134,41.248886096,0.000334281376226117
11,0.102104967000001,3.0718962498,41.248886096,0.000428416791116706
11.2,0.109777319000001,3.4375399338,41.248886096,0.000515434451305057
11.4,0.120052629,3.8763123546,41.248886096,0.000635628719038748
11.6,0.13769727,4.3590776712,41.248886096,0.000819847371019796
11.8,0.153621236999999,4.56387372,41.248886096,0.00095763045221938
12,0.165070704999998,5.1344024172,41.248886096,0.00115763855176412
12.2,0.181105392999999,5.266025247,41.248886096,0.00130264894140663
12.4,0.198650477999999,5.8364649798,41.248886096,0.00158362580287522
12.6,0.212032188999999,6.3339094224,41.248886096,0.00183436905911028
12.8,0.227283826000001,6.655649175,41.248886096,0.00206619841608897
13,0.245873853999999,7.1675948148,41.248886096,0.00240712623518314
13.2,0.258055686999999,7.4456085648,41.248886096,0.00262437991809576
13.4,0.270349506999999,7.98677901,41.248886096,0.00294924139381829
13.6,0.28422265,8.49884335722303,41.248886096,0.00329937424590464
13.8,0.282770848,7.9429195608,41.248886096,0.00306780583805705
14,0.294462077999999,8.36713156302303,41.248886096,0.00336526323764843
14.2,0.300952840000001,8.8644572982,41.248886096,0.00364387666744165
14.4,0.314514262,8.9376305172,41.248886096,0.00383951007590151
14.6,0.323968466,9.40576119,41.248886096,0.00416207362455764
14.8,0.340365880999999,9.5958781128,41.248886096,0.00446111904787655
15,0.357185608,10.078554465,41.248886096,0.00491705730430973
15.2,0.366211799,10.4589662394,41.248886096,0.00523159558763451
15.4,0.371145283000001,10.6051792308,41.248886096,0.00537619520138055
