Time,Disp,Force,CrackLen,CrackExt,G_I
16.8,0.107916957,3.364366715,41.52706812,0,0.000470496
16.9,0.112772173,3.408270646,41.52706812,0,0.00049808
17,0.116111015,3.67160527,41.52706812,0,0.000552449
17.1,0.128358212,3.774003295,41.52706812,0,0.000627753
17.2,0.134816698,3.861766675,41.52706812,0,0.000674672
17.3,0.137542837,3.890991481,41.52706812,0,0.000693523
17.4,0.146211495,4.15423714,41.52706812,0,0.00078711
17.5,0.155679714,4.110377691,41.52706812,0,0.000829233
17.6,0.158717709,4.388346959,41.52706812,0,0.000902587
17.7,0.163412503,4.417571764,41.52706812,0,0.000935474
17.8,0.175717981,4.637091421,41.52706812,0,0.001055905
17.9,0.179882482,4.783215448,41.52706812,0,0.001114992
18,0.18418097,5.046594554,41.52706812,0,0.001204498
18.1,0.197714447,5.16358274,41.52706812,0,0.001322977
18.2,0.202264506,5.397692559,41.52706812,0,0.001414786
18.3,0.206755824,5.543950033,41.52706812,0,0.001485388
18.4,0.219830903,5.675617345,41.52706812,0,0.001616831
18.5,0.224648018,5.924272843,41.52706812,0,0.001724648
18.6,0.229080875,6.011991741,41.52706812,0,0.00178472
18.7,0.242384547,6.085120478,41.52706812,0,0.001911336
18.8,0.246739035,6.363089746,41.52706812,0,0.002034552
18.9,0.252592377,6.626379887,41.52706812,0,0.002168999
19,0.264623999,6.567885794,41.52706812,0,0.002252255
19.1,0.268810209,6.918939317,41.52706812,0,0.002410172
19.2,0.277378624,7.22613339,41.52706812,0,0.002597418
19.3,0.288220711,7.284627483,41.52706812,0,0.002720792
19.4,0.291894508,7.401660151,41.52706812,0,0.002799741
19.5,0.304407599,7.650315649,41.52706812,0,0.00301785
19.6,0.310633815,7.7673928,41.52706812,0,0.003126704
19.7,0.315559171,7.869746342,41.52706812,0,0.003218136
19.8,0.328603742,8.030682941,41.52706812,0,0.003419698
19.9,0.333994598,8.352467176,41.52706812,0,0.003615073
20,0.339375458,8.440230557,41.52706812,0,0.003711911
20.1,0.351880223,8.68896028,41.52706812,0,0.003962101
20.2,0.355544089,8.805903984,41.52706812,0,0.004057236
20.3,0.362362729,9.113157278,41.52706812,0,0.004279324
20.4,0.374781079,9.34713365,41.52706812,0,0.004539614
20.5,0.378304021,9.537295055,41.52706812,0,0.00467551
20.6,0.39188549,9.537295055,41.52706812,0,0.004843365
20.7,0.398075749,9.786039518,41.52706812,0,0.005048188
20.8,0.403342989,9.932341474,41.52706812,0,0.005191454
20.9,0.417376454,10.15172768,41.52706812,0,0.005490738
21,0.421220114,10.28330603,41.52706812,0,0.005613125
21.1,0.430835176,10.53205049,41.52706812,0,0.00588013
21.2,0.437906235,10.78066151,41.52706812,0,0.006117717
21.3,0.439419051,11.0000922,41.52706812,0,0.006263802
21.4,0.439598196,10.98550204,41.52706812,0,0.006258044
21.5,0.343660778,8.074586873,41.52706812,0,0.003595946
21.6,0.352392179,8.279382922,41.52706812,0,0.003780829
21.7,0.358375271,8.674295893,41.52706812,0,0.004028423
21.8,0.37350029,8.908331751,41.52706812,0,0.004311716
21.9,0.378619373,9.171651371,41.52706812,0,0.004500007
22,0.392282081,9.317864363,41.52706812,0,0.00473672
22.1,0.400403703,9.493435606,41.52706812,0,0.004925886
22.2,0.406750904,9.742091104,41.52706812,0,0.005135037
22.3,0.420817523,9.976156441,41.52706812,0,0.005440263
22.4,0.425148279,10.22476746,41.52706812,0,0.00563322
22.5,0.43537462,10.28335051,41.52706812,0,0.005801771
22.6,0.446869266,10.53205049,41.52706812,0,0.006098967
22.7,0.451258478,10.67830797,41.52706812,0,0.006244399
22.8,0.465185587,11.07322094,41.52706812,0,0.006675181
22.9,0.472159425,11.20488825,41.52706812,0,0.006855814
23,0.477729263,11.39504966,41.52706812,0,0.007054413
23.1,0.491844122,11.65838428,41.52706812,0,0.007430682
23.2,0.496493676,11.7607823,41.52706812,0,0.007566809
23.3,0.506998859,12.0826555,41.52706812,0,0.007938386
23.4,0.516907263,12.2580933,41.52706812,0,0.008211044
23.5,0.521227202,12.34585668,41.52706812,0,0.008338945
23.6,0.534346494,12.68236452,41.52706812,0,0.00878185
23.7,0.541489918,12.65309524,41.52706812,0,0.008878712
23.8,0.54624951,13.09191214,41.52706812,0,0.00926738
23.9,0.559421195,13.2674389,41.52706812,0,0.00961809
24,0.564690029,13.64776171,41.52706812,0,0.009986985
24.1,0.575709247,13.66235187,41.52706812,0,0.010192753
24.2,0.585268182,13.85260224,41.52706812,0,0.010506283
24.3,0.589932073,13.98422507,41.52706812,0,0.010690629
24.4,0.60232629,14.15975183,41.52706812,0,0.01105224
