Disp,Force
0.291995734,145.02704
0.292844802,143.3450288
0.293696306,142.5403856
0.294550243,142.6867248
0.295406608,144.1494496
0.296265396,143.6374848
0.297126599,141.9554736
0.297990209,141.224
0.298856215,140.4195792
0.299724603,139.3956496
0.300595361,138.37172
0.301468471,137.3477904
0.302343917,136.6897088
0.303221678,136.6165392
0.304101733,137.2748432
0.304984058,140.2000704
0.305868629,139.8344448
0.306755417,136.9821648
0.307644394,133.1059552
0.308535528,130.4000144
0.309428786,128.2060384
0.310324132,126.2313488
0.311221529,124.476168
0.312120936,123.2327296
0.313022312,122.0626832
0.313925613,121.4043792
0.314830793,121.25804
0.315737801,120.5267888
0.316646589,121.1850928
0.317557101,122.867104
0.318469283,124.476168
0.319383076,124.6222848
0.32029842,124.9149632
0.321215251,123.9642032
0.322133504,121.9895136
0.323053111,121.1850928
0.323974001,120.0879936
0.3248961,119.4296896
0.325819333,118.6984384
0.326743621,117.820848
0.327668882,116.7237488
0.328595032,115.7729888
0.329521985,115.6266496
0.33044965,114.310264
0.331377935,112.9938784
0.332306743,111.5311536
0.333235978,110.5803936
0.334165536,110.507224
0.335095314,111.2386976
0.336025204,110.3611072
0.336955096,108.605704
0.337884875,107.0698096
0.338814425,105.753424
0.339743625,104.7294944
0.340672353,104.1445824
0.341600482,103.4862784
0.342527881,102.9743136
0.343454418,104.217752
0.344379956,106.1922192
0.345304355,107.4356576
0.346227471,105.8997632
0.347149157,104.802664
0.348069264,102.8279744
0.348987636,101.5115888
0.349904116,100.7803376
0.350818542,102.1698928
0.35173075,102.608688
0.35264057,100.999624
0.353547831,99.756408
0.354452355,99.1712736
0.355353963,99.756408
0.35625247,99.6100688
0.357147688,98.6593088
0.358039426,98.4400224
0.358927486,97.1236368
0.359811669,95.8801984
0.360691771,94.9294384
0.361567583,94.1981872
0.362438893,94.2713568
0.363305484,96.0997072
0.364167135,95.8801984
0.365023621,95.295064
0.365874711,94.5638128
0.366720173,93.759392
0.367559767,93.8325616
0.36839325,92.442784
0.369220375,92.5891232
0.370040889,93.101088
0.370854537,92.7354624
0.371661056,91.5651936
0.372460181,90.907112
0.373251642,90.0295216
0.374035161,88.9324224
0.374810459,87.7621536
0.375577252,86.9577328
0.376335247,86.2264816
0.377084152,85.6413472
0.377823664,85.7145168
0.37855348,85.3486688
0.379273289,86.153312
0.379982775,86.7384464
0.380681618,86.8113936
0.381369492,87.1772416
0.382046066,86.9577328
0.382711003,86.2264816
0.383363962,85.6413472
0.384004596,85.7145168
0.384632551,84.9830432
0.38524747,82.9354064
0.385848989,82.0575936
0.386436738,81.4726816
0.387010343,80.2292432
0.387569422,79.1323664
0.38811359,78.6935712
0.388642453,78.1084368
0.389155615,77.9620976
0.38965267,77.8157584
0.390133209,78.547232
0.390596817,79.3516528
0.39104307,80.0831264
0.391471541,80.9607168
0.391881797,81.1800032
0.392273395,80.1560736
0.392645891,78.6935712
0.39299883,77.6696416
0.393331754,77.0845072
0.393644197,76.4262032
0.393935687,75.6217824
0.394205746,74.8173616
0.394453888,74.451736
0.394679622,73.8666016
0.394882449,73.6470928
0.395061865,73.793432
0.395217357,73.500976
0.395348408,73.7202624
0.395454491,73.7202624
